what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307214272681
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307214515238
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307214519870
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307214529044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307214530289
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307214565539
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1307214566210
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307214568488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307214608867
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307214619284
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307214762722
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307214785323
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307214842971
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1307214855370
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307214873696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307214878982
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307214893950
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307215000795
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1307215002536
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307215019423
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307215215519
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1307215215537
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1307215215537
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307215227721
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307215242829
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1307215242838
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307215253855
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307215358238
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1307215365377
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307215385383
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307215385541
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307215414822
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307215432907
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textEnd",1307215436903
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1307215437989
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1307215443042
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1307215443227
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1307215443583
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1307215459705
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1307215459811
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1307215459949
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1307215461953
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307215469537
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307215469697
